市区町村,種別,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
新潟県阿賀町,住宅地,100,98.43049327,95.96412556,94.08071749,92.37668161,91.03139013,89.37219731,87.89237668,86.32286996,84.75336323,83.31838565
北海道奈井江町,商業地,100,92.85714286,88.39285714,83.92857143,78.57142857,73.21428571,68.30357143,64.28571429,60.71428571,58.03571429,56.69642857
東京都三宅村,商業地,100,99.10714286,98.21428571,98.21428571,98.21428571,98.21428571,97.32142857,97.32142857,97.32142857,97.32142857,97.32142857
熊本県阿蘇市,住宅地,100,98.88641425,97.10467706,95.76837416,95.32293987,95.32293987,95.32293987,95.32293987,95.32293987,95.32293987,95.32293987
滋賀県甲良町,住宅地,100,97.77777778,96.44444444,94.88888889,93.33333333,90.88888889,87.77777778,85.11111111,82.66666667,80.75555556,79.02222222
北海道壮瞥町,商業地,100,97.34513274,94.69026549,92.92035398,92.03539823,91.15044248,89.38053097,88.49557522,87.61061947,86.72566372,86.72566372
北海道共和町,住宅地,100,97.35682819,95.15418502,92.95154185,91.18942731,89.42731278,89.42731278,92.07048458,96.47577093,100,100
新潟県新潟市北区,工業地,100,99.12280702,98.24561404,97.36842105,96.49122807,96.49122807,96.49122807,97.36842105,98.24561404,99.12280702,100
新潟県新発田市,工業地,100,99.12280702,98.24561404,98.24561404,99.12280702,101.754386,102.6315789,104.3859649,107.0175439,109.6491228,112.2807018
北海道留萌市,住宅地,100,97.39130435,95.65217391,94.34782609,93.04347826,91.73913043,90.43478261,89.56521739,88.69565217,87.39130435,86.08695652
青森県大鰐町,住宅地,100,96.8115942,94.7826087,93.33333333,91.88405797,90.43478261,88.98550725,87.53623188,86.08695652,84.63768116,83.1884058
山形県小国町,住宅地,100,98.00520382,96.05377277,94.10234172,92.15091067,90.19947962,87.68430182,85.21248916,83.95490026,82.82740676,82.17692975
福岡県みやこ町,住宅地,100,98.91774892,97.83549784,96.75324675,95.67099567,94.58874459,93.50649351,92.20779221,90.90909091,89.09090909,87.14285714
北海道東神楽町,住宅地,100,99.71264368,99.71264368,99.71264368,99.71264368,99.71264368,99.71264368,100.5747126,104.3103448,108.045977,112.6436782
青森県板柳町,住宅地,100,97.84482759,96.55172414,95.68965517,94.82758621,93.96551724,92.67241379,91.81034483,90.94827586,90.0862069,89.22413793
秋田県鹿角市,住宅地,100,97.4137931,95.68965517,94.18103448,93.23275862,92.26293103,91.37931034,90.49568966,89.61206897,88.72844828,88.27586207
千葉県長南町,住宅地,100,100,100,100,99.13793103,98.27586207,97.4137931,96.55172414,95.68965517,94.82758621,93.96551724
鹿児島県天城町,住宅地,100,97.7233677,95.31786942,93.42783505,92.0532646,90.63573883,89.34707904,88.05841924,86.76975945,85.48109966,84.19243986
北海道浦河町,住宅地,100,98.2832618,96.35193133,94.42060086,92.48927039,90.55793991,87.55364807,84.54935622,81.11587983,78.54077253,75.96566524
福島県須賀川市,工業地,100,101.7094017,102.5641026,103.4188034,104.2735043,105.982906,106.8376068,107.6923077,108.5470085,109.4017094,111.1111111
北海道深川市,住宅地,100,94.87179487,90.5982906,85.47008547,80.91168091,76.78062678,73.07692308,68.66096866,64.67236467,61.68091168,59.4017094
岩手県八幡平市,住宅地,100,99.14529915,98.29059829,97.43589744,96.58119658,95.72649573,94.01709402,93.16239316,93.16239316,93.16239316,93.16239316
宮崎県えびの市,住宅地,100,97.72079772,95.44159544,93.16239316,91.16809117,89.17378917,87.74928775,86.32478632,84.9002849,83.47578348,82.33618234
鹿児島県南種子町,住宅地,100,95.35775128,91.26916525,88.16013629,84.96592845,81.77172061,79.13117547,76.5758092,74.06303237,72.57240204,71.25212947
北海道今金町,住宅地,100,96.59574468,94.25531915,91.91489362,90.42553191,88.93617021,87.65957447,86.38297872,85.10638298,83.82978723,82.55319149
福岡県中間市,工業地,100,99.15254237,98.30508475,97.45762712,96.61016949,95.76271186,94.91525424,94.91525424,95.76271186,97.45762712,99.15254237
宮城県川崎町,住宅地,100,98.52320675,96.87763713,95.35864979,91.98312236,89.02953586,86.4978903,84.38818565,82.27848101,79.32489451,76.37130802
北海道森町,住宅地,100,96.63865546,93.27731092,90.75630252,88.65546218,87.39495798,86.55462185,85.71428571,84.87394958,84.03361345,83.19327731
北海道上富良野町,住宅地,100,99.15966387,98.31932773,97.4789916,96.63865546,94.53781513,92.43697479,89.49579832,87.81512605,86.13445378,84.45378151
山形県遊佐町,住宅地,100,97.05882353,94.74789916,92.4789916,90.25210084,88.65546218,87.01680672,86.21848739,85.42016807,84.49579832,83.69747899
北海道木古内町,住宅地,100,97.07112971,94.14225941,91.21338912,88.28451883,85.35564854,83.26359833,81.17154812,79.07949791,76.9874477,74.89539749
北海道鷹栖町,住宅地,100,100,98.32635983,96.65271967,94.9790795,93.30543933,90.79497908,89.12133891,88.28451883,88.28451883,88.28451883
